"Fri 12/16, 11:30 AM",Vegas,,,,ONLINE,Vegas
UAB,-,-,-,-,-,-
Miami (Ohio),340,260,340,320,272,320
"Fri 12/16, 3:00 PM",,,,,,
Troy,-120,-115,-125,-120,-113,-120
UT-San Antonio,100,100,104,100,-105,100
"Sat 12/17, 11:00 AM",,,,,,
Louisville,-110,-105,-102,-120,105,-120
Cincinnati,-110,-115,-118,100,-123,100
"Sat 12/17, 12:00 PM",,,,,,
North Carolina Central,-,325,540,545,326,545
Jackson State,-,-435,-800,-835,-440,-833
"Sat 12/17, 2:30 PM",,,,,,
Oregon State,-365,-270,-360,-400,-300,-429
Florida,300,220,280,320,238,325
"Sat 12/17, 3:30 PM",,,,,,
Fresno State,-150,-128,-156,-155,-152,-155
Washington State,130,105,130,130,129,130
"Sat 12/17, 5:45 PM",,,,,,
Southern Miss,-255,-250,-260,-275,-268,-290
Rice,215,200,210,220,216,230
"Sat 12/17, 7:30 PM",,,,,,
BYU,125,110,108,125,114,125
Southern Methodist,-145,-133,-137,-145,-133,-145
"Sat 12/17, 9:15 PM",,,,,,
Boise State,-380,-400,-375,-400,-419,-400
North Texas,310,305,290,305,314,305
"Mon 12/19, 2:30 PM",,,,,,
Connecticut,300,250,320,325,261,325
Marshall,-365,-323,-420,-430,-335,-429
"Tue 12/20, 3:30 PM",,,,,,
San Jose St.,-175,-152,-178,-180,-171,-185
Eastern Michigan,150,125,146,150,144,155
"Tue 12/20, 7:30 PM",,,,,,
Toledo,-200,-200,-178,-205,-167,-205
Liberty,170,165,146,170,141,170
"Wed 12/21, 9:00 PM",,,,,,
South Alabama,-295,-227,-310,-315,-320,-315
Western Kentucky,245,250,245,250,190,250
"Thu 12/22, 7:30 PM",,,,,,
Air Force,200,175,195,210,165,210
Baylor,-240,-213,-240,-260,-197,-260
"Fri 12/23, 3:00 PM",,,,,,
Houston,-245,-204,-250,-255,-248,-255
Louisiana,205,165,202,205,202,205
"Fri 12/23, 6:30 PM",,,,,,
Missouri,-105,105,-104,-110,101,-105
Wake Forest,-115,-125,-115,-110,-118,-115
"Sat 12/24, 8:00 PM",,,,,,
San Diego State,-260,-213,-255,-280,-263,-280
Middle Tennessee,220,175,205,225,212,225
"Mon 12/26, 2:30 PM",,,,,,
Bowling Green,-140,-133,-130,-140,-134,-135
New Mexico St.,120,110,108,120,115,115
"Tue 12/27, 12:00 PM",,,,,,
Buffalo,145,145,142,140,124,140
Georgia Southern,-170,-175,-172,-165,-145,-165
"Tue 12/27, 3:15 PM",,,,,,
Utah State,245,240,225,240,186,235
Memphis,-295,-303,-280,-305,-226,-295
"Tue 12/27, 6:45 PM",,,,,,
East Carolina,-390,-385,-420,-405,-281,-405
Coastal Carolina,320,300,320,310,225,310
"Tue 12/27, 10:15 PM",,,,,,
Oklahoma State,125,125,125,130,116,130
Wisconsin,-145,-149,-150,-155,-144,-155
"Wed 12/28, 2:00 PM",,,,,,
Duke,-,-110,-118,-120,-118,-120
UCF,-,-110,-102,100,101,100
"Wed 12/28, 5:30 PM",,,,,,
Arkansas,-150,-164,-154,-160,-144,-160
Kansas,-150,-164,-154,-160,139,-160
"Wed 12/28, 8:00 PM",,,,,,
N. Carolina,400,400,375,410,298,410
Oregon,-500,-556,-500,-570,-394,-571
"Wed 12/28, 9:00 PM",,,,,,
Mississippi,-175,-172,-176,-165,-177,-165
Texas Tech,150,140,146,140,149,140
"Thu 12/29, 2:00 PM",,,,,,
Minnesota,-295,-278,-300,-,-299,-315
Syracuse,245,225,240,-,237,250
"Thu 12/29, 5:30 PM",,,,,,
Florida State,-295,-303,-300,-305,-309,-310
Oklahoma,245,240,240,240,244,245
"Thu 12/29, 9:00 PM",,,,,,
Washington,180,185,205,185,178,195
Texas,-210,-227,-255,-230,-223,-245
"Fri 12/30, 12:00 PM",,,,,,
NC State,-,-,-,-,-,-
Maryland,-120,-120,-120,-125,-113,-120
"Fri 12/30, 2:00 PM",,,,,,
UCLA,-260,-250,-250,-250,-181,-250
Pittsburgh,220,200,202,200,152,200
"Fri 12/30, 3:30 PM",,,,,,
South Carolina,120,120,122,125,118,125
Notre Dame,-140,-145,-146,-145,-139,-145
"Fri 12/30, 4:30 PM",,,,,,
Wyoming,110,100,-102,100,104,100
Ohio,-130,-120,-118,-120,-121,-120
"Fri 12/30, 8:00 PM",,,,,,
Clemson,-250,-250,-260,-260,-175,-260
Tennessee,210,200,195,210,147,210
"Sat 12/31, 12:00 PM",,,,,,
Kansas State,145,130,130,140,122,140
Alabama,-170,-156,-156,-165,-143,-165
"Sat 12/31, 12:00 PM",,,,,,
Kentucky,105,100,102,105,-102,105
Iowa,-125,-120,-122,-125,-115,-125
"Sat 12/31, 4:00 PM",,,,,,
Michigan,-305,-303,-310,-315,-308,-315
Texas Christian,255,250,245,250,243,250
"Sat 12/31, 8:00 PM",,,,,,
Georgia,-250,-263,-275,-275,-268,-260
Ohio State,210,210,220,215,216,210
"Mon 1/2, 12:00 PM",,,,,,
Illinois,-125,-125,-134,-125,-126,-125
Miss. State,105,105,112,105,108,105
"Mon 1/2, 1:00 PM",,,,,,
USC,-120,-125,-118,-120,-114,-120
Tulane,100,105,-102,100,-102,100
"Mon 1/2, 1:00 PM",,,,,,
LSU,-400,-,-,-,-,-
Purdue,300,-,-,-,-,-
"Mon 1/2, 5:00 PM",,,,,,
Utah,-150,-,-,-,-,-
Penn State,130,-,-,-,-,-
